Site_id	Site_name	Parameters	Axis_title
433356112574201	USGS 84	CL, Na, SO4, NO3+NO2, AL, MO, BA, U	
433246112571201	USGS 85	CL, Na, SO4, NO3+NO2	
433013113024201	USGS 87	CL, Na, SO4, NO3+NO2, CR	
432940113030201	USGS 88	CL, Na, SO4, NO3+NO2	
433005113032801	USGS 89	CL, Na, NO3+NO2	
432856112560801	USGS 104	CL, Na, NO3+NO2	
432703113001801	USGS 105	CL, Na, NO3+NO2	
432959112593101	USGS 106	CL, Na	
432659112582601	USGS 108	CL, Na, NO3+NO2	
433331112560501	USGS 111	CL, Na, SO4, NO3+NO2	
433314112563001	USGS 112	CL, Na, SO4, NO3+NO2, O-PO4 as P	
433314112561801	USGS 113	CL, Na, SO4	
433318112555001	USGS 114	CL, Na, SO4, NO3+NO2	
433320112554101	USGS 115	CL, Na, SO4, NO3+NO2	
433331112553201	USGS 116	CL, Na, SO4, NO3+NO2	
432919113031501	USGS 120	CL, Na, SO4, NO3+NO2	
433352112561401	USGS 123	CL, Na, SO4, NO3+NO2	
432307112583101	USGS 124	CL, Na, NO3+NO2	
433058112572201	USGS 127	CL, Na, NO3+NO2, CR	
433250112565601	USGS 128	CL, NO3+NO2, O-PO4 as P	
433459112572601	CWP 1	CL, SO4	
433458112572401	CWP 2	CL	
433455112572501	CWP 3	CL, SO4	
433454112572601	CWP 4	CL	
433500112573001	CWP 8	CL, SO4	
433349112560701	PW 1	CL, Na	
433344112555601	PW 2	CL, Na, SO4	
433351112555701	PW 3	CL, Na	
433348112554901	PW 4	CL, Na, SO4	
433348112555701	PW 5	CL, Na	
433353112562201	PW 6	CL	
433456112572001	PW 8	CL, Na, SO4	
433500112575401	PW 9	CL, Na, SO4, CR	
433502112572802	TRA A 13	CL	
433419112560201	USGS 50	CL, Na, SO4, NO3+NO2, O-PO4 as P	
433503112573401	USGS 53	CL, Na	
433503112572801	USGS 54	CL, Na, SO4	
433508112573001	USGS 55	CL, Na, SO4, CR	
433509112573501	USGS 56	CL, Na, CR	
433456112571901	USGS 60	CL, Na, SO4	
433453112571601	USGS 61	CL, Na, SO4	
433446112570701	USGS 62	CL, Na, SO4	
433455112574001	USGS 63	CL, Na, SO4	
433436112564801	USGS 66	CL, Na, SO4	
433516112573901	USGS 68	CL, Na, SO4	
433450112573001	USGS 69	CL, Na, SO4	
433504112571001	USGS 70	CL, Na, SO4	
433439112571501	USGS 71	CL, Na, SO4	
433519112574601	USGS 72	CL, Na, SO4	
433502112575401	USGS 73	CL, Na, SO4	
433413112573501	USGS 78	CL, Na, SO4	
433000113025301	USGS 92	CL	
