Site_id	Site_name	Parameter_id
433204112562001	CFA 1	H3, NO3+NO2
433144112563501	CFA 2	CL, NO3+NO2
433243112591101	RIFLE RANGE	Na, CL
433253112545901	USGS 20	NO3+NO2
433326112564801	USGS 37	SR90, Na, CL
433322112564301	USGS 38	H3, SR90
433415112561501	USGS 43	NO3+NO2
433402112561801	USGS 45	SR90
433407112560301	USGS 47	H3, SR90, Na, NO3+NO2
433401112560301	USGS 48	NO3+NO2
433350112560601	USGS 51	Na, CL
433344112562601	USGS 57	SR90, Na, CL, NO3+NO2
433354112554701	USGS 59	H3, SR90, Na, CL
433344112554101	USGS 67	SR90, NO3+NO2
433315112560301	USGS 77	H3
433013113024201	USGS 87	H3, P32102
433331112560501	USGS 111	Na, CL
433314112561801	USGS 113	SR90, Na, CL, NO3+NO2
433318112555001	USGS 114	H3
433331112553201	USGS 116	NO3+NO2
433130112562801	USGS 130	NO3+NO2
433002113021701	RWMC Production	P32102
